finding_id,resource_id,misconfiguration_type,severity,cvss_score,detected_at,status,remediation_guidance,compliance_controls
find-e4925aba6c,res-60f0ed8701,MFA_NOT_ENFORCED,High,7.0,2026-03-15T15:01:58Z,RESOLVED,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-a0cd4ebc7e,res-60f0ed8701,UNROTATED_KEYS,High,7.2,2026-02-28T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-904a827ef2,res-8981e482f7,PUBLIC_ACCESS_ENABLED,Critical,9.1,2026-03-20T15:01:58Z,ACKNOWLEDGED,Disable public access block settings and restrict bucket/blob policy to specific principals.,SOC2-CC6.1|ISO27001-A.9.4|PCI-DSS-7.2
find-a2ae039530,res-8981e482f7,ENCRYPTION_DISABLED,High,7.3,2026-03-15T15:01:58Z,RESOLVED,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-04de088af0,res-8981e482f7,MFA_NOT_ENFORCED,High,7.1,2026-02-25T15:01:58Z,ACKNOWLEDGED,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-1b0703515d,res-8981e482f7,LOGGING_DISABLED,Medium,5.3,2026-03-17T15:01:58Z,ACKNOWLEDGED,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-77c520c4a8,res-8981e482f7,OPEN_RDP_PORT,Critical,8.9,2026-03-16T15:01:58Z,RESOLVED,Restrict RDP (port 3389) to VPN range only; consider disabling and using session manager.,CIS-5.3|NIST-SC-7|PCI-DSS-1.3
find-4fdcae4d20,res-0d6a0ef68f,PUBLIC_ACCESS_ENABLED,Critical,9.1,2026-03-10T15:01:58Z,OPEN,Disable public access block settings and restrict bucket/blob policy to specific principals.,SOC2-CC6.1|ISO27001-A.9.4|PCI-DSS-7.2
find-0cb6f100f6,res-0d6a0ef68f,MFA_NOT_ENFORCED,High,6.9,2026-02-23T15:01:58Z,OPEN,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-c734882053,res-0d6a0ef68f,OVERPRIVILEGED_IAM_ROLE,High,8.0,2026-02-25T15:01:58Z,OPEN,Apply least-privilege by scoping IAM policies to required actions and resources only.,SOC2-CC6.3|ISO27001-A.9.2|NIST-AC-6
find-6ddd75f5bc,res-0d6a0ef68f,NO_BACKUP_POLICY,Medium,4.9,2026-03-08T15:01:58Z,OPEN,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-7743e5f350,res-0d6a0ef68f,OUTDATED_TLS,High,6.8,2026-02-23T15:01:58Z,OPEN,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-f5979c3a5e,res-0d6a0ef68f,DEFAULT_ADMIN_CREDENTIALS,Critical,9.3,2026-02-27T15:01:58Z,ACKNOWLEDGED,Rotate all default credentials immediately; enforce strong password policy.,CIS-4.2|NIST-IA-5|PCI-DSS-2.1
find-eeeb8826f4,res-7c8e5757c5,OPEN_SSH_PORT,Critical,9.0,2026-02-19T15:01:58Z,ACKNOWLEDGED,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-ecabf480c6,res-7c8e5757c5,MISSING_RESOURCE_TAGS,Low,2.7,2026-02-19T15:01:58Z,ACKNOWLEDGED,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-923a4abc5d,res-7c8e5757c5,CROSS_ACCOUNT_ACCESS,High,7.9,2026-02-21T15:01:58Z,RESOLVED,Review cross-account trust policies; remove unauthorized external account access.,SOC2-CC6.6|NIST-AC-4
find-7ef8df5a66,res-7bf8be84c6,PUBLIC_ACCESS_ENABLED,Critical,9.1,2026-03-02T15:01:58Z,RESOLVED,Disable public access block settings and restrict bucket/blob policy to specific principals.,SOC2-CC6.1|ISO27001-A.9.4|PCI-DSS-7.2
find-5b3e4b27be,res-7bf8be84c6,LOGGING_DISABLED,Medium,5.4,2026-02-19T15:01:58Z,ACKNOWLEDGED,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-e7aa78c917,res-7bf8be84c6,OUTDATED_TLS,High,7.0,2026-02-23T15:01:58Z,OPEN,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-46fb083c6b,res-7bf8be84c6,MISSING_RESOURCE_TAGS,Low,2.7,2026-03-13T15:01:58Z,OPEN,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-1ec35facab,res-e6c78dd1d4,PUBLIC_ACCESS_ENABLED,Critical,9.2,2026-02-24T15:01:58Z,RESOLVED,Disable public access block settings and restrict bucket/blob policy to specific principals.,SOC2-CC6.1|ISO27001-A.9.4|PCI-DSS-7.2
find-099d6edccd,res-e6c78dd1d4,ENCRYPTION_DISABLED,High,7.7,2026-03-09T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-d901442247,res-e6c78dd1d4,LOGGING_DISABLED,Medium,5.3,2026-03-07T15:01:58Z,ACKNOWLEDGED,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-99e642b630,res-e6c78dd1d4,OVERPRIVILEGED_IAM_ROLE,High,8.1,2026-03-18T15:01:58Z,RESOLVED,Apply least-privilege by scoping IAM policies to required actions and resources only.,SOC2-CC6.3|ISO27001-A.9.2|NIST-AC-6
find-c463919474,res-e6c78dd1d4,NO_BACKUP_POLICY,Medium,5.3,2026-03-20T15:01:58Z,OPEN,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-ce9c1401a8,res-e6c78dd1d4,OUTDATED_TLS,High,6.8,2026-02-19T15:01:58Z,ACKNOWLEDGED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-283a4a0503,res-e6c78dd1d4,MISSING_RESOURCE_TAGS,Low,2.7,2026-03-09T15:01:58Z,ACKNOWLEDGED,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-fec44822db,res-27b61e76ab,ENCRYPTION_DISABLED,High,7.7,2026-02-26T15:01:58Z,ACKNOWLEDGED,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-160818881b,res-27b61e76ab,MFA_NOT_ENFORCED,High,7.4,2026-03-16T15:01:58Z,OPEN,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-4512d7e3f2,res-27b61e76ab,OPEN_SSH_PORT,Critical,9.0,2026-03-17T15:01:58Z,OPEN,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-a23ab071b6,res-27b61e76ab,NO_BACKUP_POLICY,Medium,4.9,2026-02-22T15:01:58Z,OPEN,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-f4d426e9e9,res-27b61e76ab,OUTDATED_TLS,High,7.1,2026-03-14T15:01:58Z,RESOLVED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-c005e061af,res-27b61e76ab,MISSING_RESOURCE_TAGS,Low,2.5,2026-03-05T15:01:58Z,OPEN,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-9896bfa907,res-27b61e76ab,CROSS_ACCOUNT_ACCESS,High,7.6,2026-03-11T15:01:58Z,OPEN,Review cross-account trust policies; remove unauthorized external account access.,SOC2-CC6.6|NIST-AC-4
find-ccce0d63d4,res-e8e6f9948e,ENCRYPTION_DISABLED,High,7.5,2026-03-20T15:01:58Z,RESOLVED,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-4356e3878d,res-e8e6f9948e,OVERPRIVILEGED_IAM_ROLE,High,7.8,2026-03-15T15:01:58Z,RESOLVED,Apply least-privilege by scoping IAM policies to required actions and resources only.,SOC2-CC6.3|ISO27001-A.9.2|NIST-AC-6
find-39d04dbb91,res-e8e6f9948e,NO_BACKUP_POLICY,Medium,4.9,2026-02-27T15:01:58Z,ACKNOWLEDGED,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-b6be47f66c,res-e8e6f9948e,OUTDATED_TLS,High,7.1,2026-03-02T15:01:58Z,OPEN,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-580460db34,res-e8e6f9948e,CROSS_ACCOUNT_ACCESS,High,7.6,2026-03-01T15:01:58Z,OPEN,Review cross-account trust policies; remove unauthorized external account access.,SOC2-CC6.6|NIST-AC-4
find-42e882ddea,res-e8e6f9948e,UNROTATED_KEYS,High,7.4,2026-03-11T15:01:58Z,ACKNOWLEDGED,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-d87583e845,res-2944eb9249,MFA_NOT_ENFORCED,High,7.2,2026-02-22T15:01:58Z,ACKNOWLEDGED,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-9af39f4a78,res-2944eb9249,NO_BACKUP_POLICY,Medium,5.0,2026-03-21T15:01:58Z,OPEN,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-99569f7d8c,res-2944eb9249,UNROTATED_KEYS,High,7.6,2026-02-27T15:01:58Z,ACKNOWLEDGED,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-9a282e84b9,res-ffe7d0aee3,MFA_NOT_ENFORCED,High,6.9,2026-03-21T15:01:58Z,RESOLVED,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-4566b91b9d,res-ffe7d0aee3,LOGGING_DISABLED,Medium,5.2,2026-02-26T15:01:58Z,OPEN,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-3ea724dd21,res-ffe7d0aee3,OPEN_SSH_PORT,Critical,9.2,2026-03-19T15:01:58Z,ACKNOWLEDGED,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-c06ab433db,res-ffe7d0aee3,NO_BACKUP_POLICY,Medium,5.2,2026-02-24T15:01:58Z,OPEN,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-50058ca580,res-ffe7d0aee3,OUTDATED_TLS,High,6.8,2026-03-04T15:01:58Z,ACKNOWLEDGED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-9d235b918e,res-ffe7d0aee3,DEFAULT_ADMIN_CREDENTIALS,Critical,9.6,2026-03-01T15:01:58Z,OPEN,Rotate all default credentials immediately; enforce strong password policy.,CIS-4.2|NIST-IA-5|PCI-DSS-2.1
find-bf37f8cb03,res-ffe7d0aee3,MISSING_RESOURCE_TAGS,Low,2.6,2026-02-26T15:01:58Z,ACKNOWLEDGED,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-f18218c03a,res-eb7b954b40,MFA_NOT_ENFORCED,High,7.0,2026-03-09T15:01:58Z,OPEN,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-16502c16ea,res-eb7b954b40,OPEN_RDP_PORT,Critical,8.9,2026-03-05T15:01:58Z,ACKNOWLEDGED,Restrict RDP (port 3389) to VPN range only; consider disabling and using session manager.,CIS-5.3|NIST-SC-7|PCI-DSS-1.3
find-fe7769768e,res-eb7b954b40,OUTDATED_TLS,High,7.1,2026-03-13T15:01:58Z,ACKNOWLEDGED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-d3b5d2617b,res-eb7b954b40,UNROTATED_KEYS,High,7.2,2026-03-17T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-d6d45e606d,res-245355a4b4,ENCRYPTION_DISABLED,High,7.6,2026-03-06T15:01:58Z,ACKNOWLEDGED,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-6b77cef27c,res-245355a4b4,MFA_NOT_ENFORCED,High,7.1,2026-02-25T15:01:58Z,OPEN,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-a5985dd8cb,res-245355a4b4,LOGGING_DISABLED,Medium,5.1,2026-02-25T15:01:58Z,OPEN,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-ebd9249d69,res-245355a4b4,OUTDATED_TLS,High,6.9,2026-03-20T15:01:58Z,ACKNOWLEDGED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-31153f1c55,res-245355a4b4,MISSING_RESOURCE_TAGS,Low,2.4,2026-03-05T15:01:58Z,OPEN,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-d1233e00f2,res-245355a4b4,UNROTATED_KEYS,High,7.4,2026-03-02T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-d5e1819877,res-b418bdd23c,MFA_NOT_ENFORCED,High,6.9,2026-02-21T15:01:58Z,ACKNOWLEDGED,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-08e4d80dc8,res-b418bdd23c,NO_BACKUP_POLICY,Medium,4.9,2026-03-11T15:01:58Z,OPEN,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-8a6054062d,res-b418bdd23c,OUTDATED_TLS,High,6.8,2026-03-13T15:01:58Z,ACKNOWLEDGED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-8d4c64dd0f,res-b418bdd23c,MISSING_RESOURCE_TAGS,Low,2.5,2026-03-03T15:01:58Z,OPEN,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-2986933eb9,res-9bf6ab9fd1,ENCRYPTION_DISABLED,High,7.3,2026-02-24T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-6291960bdd,res-9bf6ab9fd1,MFA_NOT_ENFORCED,High,7.1,2026-03-11T15:01:58Z,OPEN,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-b88c12f279,res-9bf6ab9fd1,OPEN_SSH_PORT,Critical,8.9,2026-03-12T15:01:58Z,OPEN,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-37613c19de,res-9bf6ab9fd1,NO_BACKUP_POLICY,Medium,5.3,2026-03-09T15:01:58Z,ACKNOWLEDGED,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-fa3d523eec,res-9bf6ab9fd1,MISSING_RESOURCE_TAGS,Low,2.6,2026-03-20T15:01:58Z,ACKNOWLEDGED,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-eba6ff1758,res-9bf6ab9fd1,CROSS_ACCOUNT_ACCESS,High,7.7,2026-03-15T15:01:58Z,OPEN,Review cross-account trust policies; remove unauthorized external account access.,SOC2-CC6.6|NIST-AC-4
find-5b9a57a2cc,res-9bf6ab9fd1,UNROTATED_KEYS,High,7.2,2026-03-02T15:01:58Z,ACKNOWLEDGED,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-16aedf9585,res-8e6abe0bff,PUBLIC_ACCESS_ENABLED,Critical,9.1,2026-02-24T15:01:58Z,ACKNOWLEDGED,Disable public access block settings and restrict bucket/blob policy to specific principals.,SOC2-CC6.1|ISO27001-A.9.4|PCI-DSS-7.2
find-1acf8db6ca,res-8e6abe0bff,MFA_NOT_ENFORCED,High,7.5,2026-02-25T15:01:58Z,ACKNOWLEDGED,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-1d9b2f69d8,res-8e6abe0bff,MISSING_RESOURCE_TAGS,Low,2.6,2026-02-20T15:01:58Z,RESOLVED,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-e565fe7f90,res-8e6abe0bff,UNROTATED_KEYS,High,7.4,2026-03-20T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-f6e7ea1fc6,res-731183adf0,ENCRYPTION_DISABLED,High,7.4,2026-03-18T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-f243a26a60,res-731183adf0,OPEN_SSH_PORT,Critical,9.2,2026-03-05T15:01:58Z,OPEN,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-cfd46bbdd9,res-731183adf0,MISSING_RESOURCE_TAGS,Low,2.3,2026-03-05T15:01:58Z,ACKNOWLEDGED,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-979585859e,res-ce612a7fad,ENCRYPTION_DISABLED,High,7.6,2026-02-26T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-1b7a5ed21f,res-ce612a7fad,OPEN_SSH_PORT,Critical,8.9,2026-03-16T15:01:58Z,RESOLVED,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-72c6e0515f,res-ce612a7fad,UNROTATED_KEYS,High,7.4,2026-02-21T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-ad641f4475,res-9339bd1b32,ENCRYPTION_DISABLED,High,7.8,2026-03-09T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-1f0c199cdf,res-9339bd1b32,MFA_NOT_ENFORCED,High,7.3,2026-03-01T15:01:58Z,OPEN,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-9237ad3713,res-9339bd1b32,LOGGING_DISABLED,Medium,5.1,2026-03-17T15:01:58Z,OPEN,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-049d63ea16,res-9339bd1b32,MISSING_RESOURCE_TAGS,Low,2.6,2026-03-09T15:01:58Z,OPEN,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-5159b4e7b6,res-9339bd1b32,UNROTATED_KEYS,High,7.5,2026-03-16T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-ce1970fa86,res-957f15962b,PUBLIC_ACCESS_ENABLED,Critical,9.1,2026-02-28T15:01:58Z,ACKNOWLEDGED,Disable public access block settings and restrict bucket/blob policy to specific principals.,SOC2-CC6.1|ISO27001-A.9.4|PCI-DSS-7.2
find-c43110d546,res-957f15962b,LOGGING_DISABLED,Medium,5.5,2026-03-16T15:01:58Z,OPEN,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-473b860603,res-957f15962b,OUTDATED_TLS,High,6.7,2026-02-25T15:01:58Z,RESOLVED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-981cd7dea0,res-957f15962b,CROSS_ACCOUNT_ACCESS,High,7.7,2026-02-26T15:01:58Z,OPEN,Review cross-account trust policies; remove unauthorized external account access.,SOC2-CC6.6|NIST-AC-4
find-a74e364dbd,res-957f15962b,UNROTATED_KEYS,High,7.6,2026-03-18T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-e71c81ec3b,res-e7f1cf49e9,ENCRYPTION_DISABLED,High,7.4,2026-03-19T15:01:58Z,ACKNOWLEDGED,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-360eed9051,res-e7f1cf49e9,MFA_NOT_ENFORCED,High,7.2,2026-03-09T15:01:58Z,OPEN,Enforce MFA for all IAM users and service principals via policy.,SOC2-CC6.1|NIST-IA-2|PCI-DSS-8.3
find-8e2bde02bf,res-e7f1cf49e9,OPEN_RDP_PORT,Critical,8.7,2026-03-09T15:01:58Z,RESOLVED,Restrict RDP (port 3389) to VPN range only; consider disabling and using session manager.,CIS-5.3|NIST-SC-7|PCI-DSS-1.3
find-ce66aef60b,res-e7f1cf49e9,OVERPRIVILEGED_IAM_ROLE,High,7.6,2026-03-10T15:01:58Z,RESOLVED,Apply least-privilege by scoping IAM policies to required actions and resources only.,SOC2-CC6.3|ISO27001-A.9.2|NIST-AC-6
